candidate_id,case_id,total_score,pass,cluster_coverage_p50,unknown_p50,near_score,far_score,temporal_score,frame_ms_p95,frame_ms_max,frame_over_100ms_count,sampled_frame_ms_p95,timing_source,merge_events,split_events,contour_lost_events,color_refresh_count,color_refresh_motion_count,color_refresh_unknown_spike_count,color_refresh_far_loss_count,color_cache_reuse_count,color_stereo_reuse_p50,color_async_submitted_count,color_async_applied_count,color_async_dropped_count,color_refresh_cooldown_skipped_count,color_refresh_roi_count,color_refresh_roi_pixels_p95,color_refresh_roi_candidate_pixels_p95,color_refresh_roi_motion_mask_pixels_p95,color_refresh_roi_motion_bbox_pixels_p95,color_refresh_roi_after_padding_pixels_p95,color_refresh_roi_max_pixels_p50,color_refresh_roi_component_count,color_refresh_roi_selected_component_count,color_refresh_roi_component_clamped_count,color_refresh_roi_rejected_empty_count,color_refresh_roi_rejected_large_count,color_refresh_roi_region_count,color_refresh_roi_stereo_reuse_count,color_refresh_roi_stereo_built_count,color_refresh_roi_stereo_failed_count,color_refresh_roi_preserved_stereo_count,color_refresh_roi_stereo_dropped_count,color_refresh_roi_stereo_dropped_pixels,roi_stereo_g1_preservation_pass,roi_stereo_g2_rebuild_pass,color_cache_age_p95,color_async_worker_ms_p95,color_async_worker_ms_positive_p95,run_id
candidate_0030,slow_pan_far_object,93.39,1,100.0,0.0,20.0,10.0,15.0,70.71699999999998,85.811,0,83.7326,profile.csv,0,0,0,3,3,0,0,105,2.0,3,3,0,7,0,,307200.0,4168.2,307200.0,307200.0,107520.0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,54.8,0.0,18.9243,slow_pan_far_object_candidate_0030
candidate_0041,slow_pan_far_object,81.288,1,100.0,0.0,16.0,6.0,15.0,98.07759999999999,128.595,3,126.462,profile.csv,0,0,0,7,7,0,2,98,2.0,0,0,0,85,2,152752.0,307200.0,4062.3999999999996,307200.0,307200.0,153600.0,23,9,2,0,5,8,0,6,2,0,0,0,0,0,14.0,0.0,,slow_pan_far_object_candidate_0041
candidate_0040,slow_pan_far_object,81.108,1,100.0,0.0,16.0,6.0,15.0,99.2818,116.919,5,114.597,profile.csv,0,0,0,7,7,0,2,98,2.0,0,0,0,85,2,207974.40000000002,307200.0,4062.3999999999996,307200.0,307200.0,215040.0,23,9,2,0,5,8,0,6,2,0,0,0,0,0,14.0,0.0,,slow_pan_far_object_candidate_0040
